! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Units,Zip_Code,
SPCA2,SHEEP CAMP,59.65640,-135.26780,279 meters,snowdepth,2017-03-01 06,835.660,cm,99840,
AMBC1,ALPINE MEADOWS-BASE,39.16280,-120.23860,2131 meters,snowdepth,2017-03-01 06,731.520,cm,96145,
LELC1,LEAVITT LAKE,38.27600,-119.61180,2928 meters,snowdepth,2017-03-01 06,624.840,cm,96107,
HDLI1,HIDDEN LAKE,48.89370,-116.75750,1525 meters,snowdepth,2017-03-01 06,609.600,cm,83805,
MDLC2,MIDDLE CREEK,37.61980,-107.03480,3459 meters,snowdepth,2017-03-01 05,589.280,cm,81130,
TIRC1,TIOGA PASS,37.91110,-119.25690,3033 meters,snowdepth,2017-03-01 06,585.978,cm,95389,
BMTSV_MADIS,BELMONT-SQUAW,39.19219,-120.26380,2467 meters,snowdepth,2017-03-01 06,585.216,cm,96145,
MCUES_MADIS,CRREL-UCSB ENERGY SITE,37.64300,-119.02900,2942 meters,snowdepth,2017-03-01 06,580.060,cm,93546,
FBNI1,FRANKLIN BASIN,42.05070,-111.60200,2482 meters,snowdepth,2017-03-01 06,576.580,cm,83237,
HRFC1,HARKNESS FLAT SNOW COURSE,40.41810,-121.03500,1747 meters,snowdepth,2017-03-01 06,567.182,cm,96056,
FRWC1,FAREWELL GAP SNOW COURSE,36.41190,-118.58310,3092 meters,snowdepth,2017-03-01 06,557.784,cm,00026,
MAMC1,MAMMOTH PASS,37.61000,-119.03310,2866 meters,snowdepth,2017-03-01 06,548.894,cm,00020,
STZI1,SCHWEITZER BASIN,48.37430,-116.63920,1857 meters,snowdepth,2017-03-01 06,541.020,cm,83856,
MRSN2,MT ROSE SKI AREA,39.31570,-119.89470,2688 meters,snowdepth,2017-03-01 06,538.480,cm,89511,
UVCC2,UNIVERSITY CAMP,40.03280,-105.57610,3159 meters,snowdepth,2017-03-01 05,535.940,cm,80481,
KLNC2,KILN,39.31720,-106.61450,2946 meters,snowdepth,2017-03-01 04,525.780,cm,81642,
