! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Units,Zip_Code,
AMBC1,ALPINE MEADOWS-BASE,39.16280,-120.23860,2131 meters,snowdepth,2015-03-01 06,731.520,cm,96145,
MELC1,MEADOW LK SNOW COURSE,39.41690,-120.50810,2290 meters,snowdepth,2015-03-01 06,701.040,cm,95728,
LELC2,LAKE ELDORA,39.93680,-105.58960,2965 meters,snowdepth,2015-03-01 06,632.460,cm,80466,
PTFC1,PETERSON FLAT,41.31330,-122.52500,1943 meters,snowdepth,2015-03-01 06,621.792,cm,96091,
BUTC2,BUTTE,38.89430,-106.95300,3118 meters,snowdepth,2015-03-01 06,614.680,cm,81224,
TRMI1,TRINITY MTN.,43.62900,-115.43820,2382 meters,snowdepth,2015-03-01 06,612.140,cm,83601,
GINC1,GIN FLAT,37.77000,-119.77000,2173 meters,snowdepth,2015-03-01 06,607.822,cm,00040,
BTUC1,BEAR TRAP - UCM,39.09450,-120.57690,1607 meters,snowdepth,2015-03-01 06,576.504,cm,95631,
RRMC1,RED ROCK MOUNTAIN,41.02300,-122.88500,1967 meters,snowdepth,2015-03-01 06,568.452,cm,96052,
SEEU1,SEELEY CREEK,39.31040,-111.43300,3022 meters,snowdepth,2015-03-01 06,553.720,cm,84642,
CRKU1,CLEAR CREEK #2,39.89280,-111.25070,2406 meters,snowdepth,2015-03-01 06,551.180,cm,00071,
CPSC1,"20L11 - CAPLES LAKES, CA (NEAR CPLC1)",38.71670,-120.05000,2476 meters,snowdepth,2015-03-01 06,546.862,cm,96120,
KLBU1,KOLOB,37.53000,-113.05000,2805 meters,snowdepth,2015-03-01 06,538.480,cm,84720,
BNDU1,BROWN DUCK,40.58110,-110.58580,3234 meters,snowdepth,2015-03-01 06,538.480,cm,84066,
SLMC1,ELSTANISLAUS MEADOW (GOES),38.50000,-119.93690,2359 meters,snowdepth,2015-03-01 06,536.702,cm,00044,
WPKW4,WHISKEY PARK,41.00290,-106.90850,2742 meters,snowdepth,2015-03-01 06,525.780,cm,82325,
LIZC2,LIZARD HEAD PASS,37.79930,-107.92430,3116 meters,snowdepth,2015-03-01 06,518.160,cm,81320,
BTLW4,BATTLE MOUNTAIN,41.05410,-107.26610,2287 meters,snowdepth,2015-03-01 06,518.160,cm,82325,
TOGW4,TOGWOTEE PASS SNOTEL,43.74900,-110.05780,2929 meters,snowdepth,2015-03-01 06,510.540,cm,83013,
BLCC1,BLOODS CREEK,38.45000,-120.03500,2198 meters,snowdepth,2015-03-01 06,508.762,cm,00044,
DSTU1,DANIELS-STRAWBERRY,40.29490,-111.25640,2442 meters,snowdepth,2015-03-01 06,508.000,cm,84032,
BLSC1,BLACK SPRINGS,38.37500,-120.19190,1975 meters,snowdepth,2015-03-01 06,502.412,cm,95223,
SVPI1,SAVAGE PASS,46.46630,-114.63330,1891 meters,snowdepth,2015-03-01 06,497.840,cm,83525,
BCVC2,BEAVER CK VILLAGE,39.59920,-106.51140,2604 meters,snowdepth,2015-03-01 05,495.300,cm,81657,
WRGC2,WAGER GULCH,37.88330,-107.36670,3411 meters,snowdepth,2015-03-01 06,490.220,cm,81235,
WNDW4,WINDY PEAK,42.28020,-105.57820,2411 meters,snowdepth,2015-03-01 06,490.220,cm,82058,
SMPW1,STAMPEDE PASS,47.27450,-121.34160,1187 meters,snowdepth,2015-03-01 06,490.220,cm,98022,
HAPC2,CHAPMAN TUNNEL,39.26220,-106.62930,3084 meters,snowdepth,2015-03-01 06,490.220,cm,81621,
CEDQ2,CEDAR-KITEEN,55.15200,-128.71000,914 meters,snowdepth,2015-03-01 06,489.001,cm,,
SGMC2,SARGENTS MESA,38.28560,-106.37070,3505 meters,snowdepth,2015-03-01 03,487.680,cm,81149,
PKCC2,PARK CONE,38.82000,-106.58970,2935 meters,snowdepth,2015-03-01 06,487.680,cm,81210,
NLSC2,NORTH LOST TRAIL,39.07810,-107.14390,2814 meters,snowdepth,2015-03-01 06,487.680,cm,81623,
LADN2,LAUREL DRAW,41.77640,-116.02960,2042 meters,snowdepth,2015-03-01 06,487.680,cm,89831,
BURC2,BURRO MOUNTAIN,39.87510,-107.59850,2846 meters,snowdepth,2015-03-01 06,485.140,cm,81641,
WLLC2,WILLOW CREEK PASS,40.34700,-106.09430,2926 meters,snowdepth,2015-03-01 05,482.600,cm,80447,
MFKC2,MIDDLE FORK CAMP,39.79560,-106.02730,2738 meters,snowdepth,2015-03-01 06,482.600,cm,80468,
MFKU1,MINING FORK,40.49420,-112.61170,2530 meters,snowdepth,2015-03-01 06,480.060,cm,84074,
LLSC1,LAKE LOIS,38.92500,-120.19690,2522 meters,snowdepth,2015-03-01 06,478.028,cm,00051,
HRLC2,HOURGLASS LAKE,40.57910,-105.63070,2862 meters,snowdepth,2015-03-01 06,474.980,cm,80512,
FCVC2,FOOL CREEK,39.86870,-105.86750,3404 meters,snowdepth,2015-03-01 06,474.980,cm,80446,
HPAC2,HAYDEN PASS,38.29330,-105.85050,3255 meters,snowdepth,2015-03-01 06,472.440,cm,81155,
FOIC1,FORNI RIDGE,38.80500,-120.21310,2300 meters,snowdepth,2015-03-01 06,471.424,cm,95720,
CAMLP_MADIS,MOLAS PASS,37.75139,-107.69110,3293 meters,snowdepth,2015-03-01 06,471.424,cm,81433,
TACN5,PALO SNOTEL,36.40000,-105.31670,2726 meters,snowdepth,2015-03-01 06,469.900,cm,87714,
RMPC2,RED MOUNTAIN PASS,37.89180,-107.71340,3381 meters,snowdepth,2015-03-01 05,464.820,cm,81433,
RESC2,RABBIT EARS,40.36780,-106.74040,2882 meters,snowdepth,2015-03-01 06,464.820,cm,80487,
ELKC2,ELK RIVER,40.84780,-106.96870,2666 meters,snowdepth,2015-03-01 06,464.820,cm,80428,
CAMU1,CASCADE MOUNTAIN,40.28300,-111.60990,2367 meters,snowdepth,2015-03-01 05,464.820,cm,84604,
SILC1,SILVER LAKE (GOES),38.67810,-120.11810,2195 meters,snowdepth,2015-03-01 05,461.010,cm,00052,
SOSC2,SCHOFIELD PASS,39.01520,-107.04880,3266 meters,snowdepth,2015-03-01 06,459.740,cm,81623,
KSPC1,KAISER POINT,37.29830,-119.10330,2803 meters,snowdepth,2015-03-01 06,459.486,cm,00017,
APSC2,APISHAPA,37.33060,-105.06750,3060 meters,snowdepth,2015-03-01 06,457.200,cm,81055,
BSHC1,BISHOP PASS,37.10000,-118.55000,3482 meters,snowdepth,2015-03-01 06,456.438,cm,93633,
HPSU1,HICKERSON PARK,40.90660,-109.96290,2784 meters,snowdepth,2015-03-01 06,454.660,cm,84046,
BVDU1,BEAVER DAMS,39.13690,-111.55810,2438 meters,snowdepth,2015-03-01 06,452.120,cm,84642,
UBCC1,UPPER BURNT CORRAL MEADOW,37.18330,-118.93330,2968 meters,snowdepth,2015-03-01 06,450.342,cm,00017,
GRMC1,GREEN MTN,37.55500,-119.23810,2409 meters,snowdepth,2015-03-01 06,448.818,cm,00020,
DDMC1,DEADMAN CK NEAR KENNEDY MEADOWS - SONORA PASS,38.33190,-119.65310,2843 meters,snowdepth,2015-03-01 06,444.500,cm,95335,
GKSC1,GREEK STORE,39.07500,-120.55810,1722 meters,snowdepth,2015-03-01 06,442.468,cm,95631,
ICYU1,INDIAN CANYON,39.89170,-110.74620,2803 meters,snowdepth,2015-03-01 06,441.960,cm,84021,
CINW4,CINNABAR PARK,41.23840,-106.23100,2957 meters,snowdepth,2015-03-01 06,436.880,cm,82055,
BIMC1,BIG MEADOWS,36.71670,-118.85000,2339 meters,snowdepth,2015-03-01 06,424.942,cm,00026,
TREN5,TRES RITOS,36.12770,-105.52710,2673 meters,snowdepth,2015-03-01 06,424.180,cm,87579,
MLDU1,MILL-D NORTH,40.65880,-111.63680,2741 meters,snowdepth,2015-03-01 06,424.180,cm,84121,
PDSC1,PARADISE,38.05000,-119.66670,2365 meters,snowdepth,2015-03-01 06,415.290,cm,00040,
WHPN2,WHEELER PEAK,39.01000,-114.31010,3080 meters,snowdepth,2015-03-01 06,414.020,cm,89311,
ALPHA_MADIS,ALPHA,38.80389,-120.21580,2325 meters,snowdepth,2015-03-01 06,414.020,cm,95720,
HNTC1,HUNTINGTON LAKE,37.22750,-119.22060,2153 meters,snowdepth,2015-03-01 05,413.766,cm,93664,
SNV03_MADIS,KALAMAZOO,39.55000,-114.63000,2689 meters,snowdepth,2015-03-01 05,408.940,cm,89301,
CISCO_MADIS,CISCO BUTTE,39.30611,-120.56280,1956 meters,snowdepth,2015-03-01 06,405.384,cm,95724,
JEMC1,GEM PASS,37.78000,-119.17810,3333 meters,snowdepth,2015-03-01 06,396.494,cm,93529,
NWZU1,BEAVER DIVIDE YS,40.61670,-111.06670,2623 meters,snowdepth,2015-03-01 06,386.080,cm,84036,
