! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Units,Zip_Code,
AMBC1,ALPINE MEADOWS-BASE,39.16280,-120.23860,2131 meters,snowdepth,2016-03-01 06,731.520,cm,96145,
BRTW1,BROWN TOP,48.92750,-121.19710,1781 meters,snowdepth,2016-03-01 04,701.040,cm,00072,
LSLI1,LOST LAKE,47.07190,-115.95810,1692 meters,snowdepth,2016-03-01 06,673.100,cm,83873,
FRWC1,FAREWELL GAP SNOW COURSE,36.41190,-118.58310,3092 meters,snowdepth,2016-03-01 06,642.112,cm,00026,
BUFC2,BUFFALO PARK,40.22860,-106.59530,2821 meters,snowdepth,2016-03-01 06,538.480,cm,80459,
FBNI1,FRANKLIN BASIN,42.05070,-111.60200,2482 meters,snowdepth,2016-03-01 06,533.400,cm,83237,
NSSC2,NAST LAKE,39.29720,-106.60690,2665 meters,snowdepth,2016-03-01 06,513.080,cm,81621,
AYTA2,ALYESKA WEATHER TOP,60.96280,-149.06890,825 meters,snowdepth,2016-02-29 15,513.080,cm,00198,
SVPI1,SAVAGE PASS,46.46630,-114.63330,1891 meters,snowdepth,2016-03-01 06,502.920,cm,83525,
WNDW4,WINDY PEAK,42.28020,-105.57820,2411 meters,snowdepth,2016-03-01 06,490.220,cm,82058,
SLTC1,SLATE CREEK,41.04610,-122.48110,1741 meters,snowdepth,2016-03-01 06,482.600,cm,96051,
MFKC2,MIDDLE FORK CAMP,39.79560,-106.02730,2738 meters,snowdepth,2016-03-01 06,480.060,cm,80468,
OMWW1,OLALLIE MEADOWS,47.37410,-121.44210,1227 meters,snowdepth,2016-03-01 05,462.280,cm,98922,
SILC1,SILVER LAKE (GOES),38.67810,-120.11810,2195 meters,snowdepth,2016-03-01 06,460.756,cm,00052,
MIHC2,MICHIGAN CREEK,39.43330,-105.91670,3467 meters,snowdepth,2016-03-01 06,447.040,cm,80456,
