! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Units,
SWCW1,SWIFT CREEK,46.16370,-122.18410,1369 meters,snowdepth,2008-03-01 06,742.950,cm,
HOOM8,HOODOO BASIN,46.97500,-115.03490,1852 meters,snowdepth,2008-03-01 05,497.586,cm,
GZPC2,GRIZZLY PEAK,39.64630,-105.86970,3404 meters,snowdepth,2008-03-01 06,487.934,cm,
SVNW1,STEVENS PASS,47.74650,-121.09250,1217 meters,snowdepth,2008-03-01 06,484.124,cm,
BANM8,BANFIELD MOUNTAIN,48.57120,-115.44570,1705 meters,snowdepth,2008-03-01 05,479.298,cm,
LLKA2,LONG LAKE,58.18600,-133.83220,-9999 meters,snowdepth,2008-02-29 10,477.520,cm,
ELSW1,ELBOW LAKE,48.69090,-121.90890,932 meters,snowdepth,2008-03-01 06,470.408,cm,
LCKM8,LICK CREEK,45.50410,-110.96630,2102 meters,snowdepth,2008-03-01 04,466.344,cm,
MDBC1,MIDDLE BOULDER 3 GOES,41.22500,-122.81170,1859 meters,snowdepth,2008-03-01 06,459.232,cm,
HLTI1,HILTS CREEK,44.01900,-113.47230,2477 meters,snowdepth,2008-03-01 06,451.612,cm,
CUMW1,COUGAR MOUNTAIN,47.27670,-121.67140,998 meters,snowdepth,2008-03-01 06,451.358,cm,
TIM60_MADIS,TIMBERLINE LODGE - BASE,45.33200,-121.71300,1829 meters,snowdepth,2008-03-01 06,449.580,cm,
PVC55,PARADISE-MT. RAINIER,46.78000,-121.74000,1505 meters,snowdepth,2008-03-01 06,449.580,cm,
KRCM8,KRAFT CREEK,47.42750,-113.77530,1460 meters,snowdepth,2008-03-01 04,443.484,cm,
AFSW1,PARADISE,46.78150,-121.74700,1570 meters,snowdepth,2008-03-01 05,432.562,cm,
SAWW1,SAWMILL RIDGE,47.15990,-121.42170,1416 meters,snowdepth,2008-03-01 06,431.292,cm,
BAK42_MADIS,MOUNT BAKER,48.86500,-121.67800,1259 meters,snowdepth,2008-03-01 06,424.180,cm,
MTHO3,MT HOOD TEST SITE,45.32100,-121.71580,1649 meters,snowdepth,2008-03-01 06,421.640,cm,
MHM52_MADIS,MOUNT HOOD MEADOWS - BASE,45.33100,-121.65000,1606 meters,snowdepth,2008-03-01 06,419.100,cm,
NUKA2,NUKA GLACIER,59.69810,-150.71180,-9999 meters,snowdepth,2008-03-01 06,416.560,cm,
BCDO3,BILLIE CREEK DIVIDE,42.40720,-122.26620,1616 meters,snowdepth,2008-03-01 06,409.194,cm,
TKSW1,TINKHAM CREEK,47.33220,-121.46950,917 meters,snowdepth,2008-03-01 06,405.892,cm,
CISCO_MADIS,CISCO BUTTE,39.30611,-120.56280,1956 meters,snowdepth,2008-03-01 06,403.606,cm,
REDO3,RED HILL,45.46430,-121.70430,1346 meters,snowdepth,2008-03-01 06,399.288,cm,
DIAO3,DIAMOND LAKE,43.18790,-122.14000,1624 meters,snowdepth,2008-03-01 06,374.650,cm,
STZI1,SCHWEITZER BASIN,48.37430,-116.63920,1857 meters,snowdepth,2008-03-01 06,374.142,cm,
WSAC2,SKI AREA,37.48330,-106.79060,3458 meters,snowdepth,2008-02-29 14,370.840,cm,
CLN,ALTA - COLLINS,40.57630,-111.63830,2935 meters,snowdepth,2008-03-01 06,368.300,cm,
STG48,STEVENS PASS-GRACE LAKES,47.74000,-121.11000,1391 meters,snowdepth,2008-03-01 06,365.760,cm,
LELC1,LEAVITT LAKE,38.27600,-119.61180,2928 meters,snowdepth,2008-03-01 06,362.204,cm,
PGPW1,PIGTAIL PEAK,46.62150,-121.38630,1772 meters,snowdepth,2008-03-01 06,361.950,cm,
GAC,SNOWBIRD - GAD,40.56820,-111.65750,2812 meters,snowdepth,2008-03-01 06,358.902,cm,
COLI1,COOL CREEK,46.76360,-115.29530,1928 meters,snowdepth,2008-03-01 06,358.648,cm,
OMWW1,OLALLIE MEADOWS,47.37410,-121.44210,1227 meters,snowdepth,2008-03-01 06,356.870,cm,
BRMI1,BEAR MOUNTAIN,48.30580,-116.07450,1663 meters,snowdepth,2008-03-01 06,352.806,cm,
WPS59,WHITE PASS-TOP,46.62000,-121.39000,1748 meters,snowdepth,2008-03-01 06,345.440,cm,
