! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Amount_Units,Duration,Duration_Units,
42.9633_078.8042,EGGERTSVILLE (212EGGE),42.96333,-78.80417,204 meters,snowfall,2008-03-01 04,10.160,cm,6,hours,
41.2147_079.3856,CLARION (48CLAR),41.21472,-79.38556,460 meters,snowfall,2008-03-01 01,17.780,cm,12,hours,
40.9436_078.9711,PUNXSUTAWNEY (896PUNX),40.94361,-78.97111,377 meters,snowfall,2008-03-01 01,17.780,cm,12,hours,
40.5361_079.0667,BRUSH VALLEY (170BRUS),40.53611,-79.06667,435 meters,snowfall,2008-03-01 02,17.780,cm,12,hours,
40.4722_078.8336,NANTY GLO (940NANT),40.47222,-78.83361,530 meters,snowfall,2008-03-01 02,35.560,cm,24,hours,
MGMM5,MONTGOMERY,44.45970,-93.66310,317 meters,snowfall,2008-02-29 17,6.096,cm,4,hours,
41.1611_079.0833,BROOKVILLE (596BRO),41.16111,-79.08333,392 meters,snowfall,2008-03-01 02,15.240,cm,12,hours,
40.7314_079.7461,SARVER (685SARV),40.73139,-79.74611,336 meters,snowfall,2008-03-01 01,15.240,cm,12,hours,
39.4078_079.4069,OAKLAND (744OAK),39.40778,-79.40694,732 meters,snowfall,2008-03-01 03,15.240,cm,12,hours,
9029C_MADIS,"STOKES CORNER 1.4 NE, NY",43.31665,-75.44580,-9999 meters,snowfall,2008-03-01 04,26.670,cm,24,hours,
40.3156_078.9519,WESTMONT (248WEST),40.31556,-78.95194,539 meters,snowfall,2008-03-01 02,26.670,cm,24,hours,
43.0467_077.0956,NEWARK (96NEWA),43.04667,-77.09556,138 meters,snowfall,2008-03-01 01,6.350,cm,6,hours,
42.9033_078.7550,CHEEKTOWAGA (260CHE),42.90333,-78.75500,198 meters,snowfall,2008-03-01 03,6.350,cm,6,hours,
38.1692_079.8139,WARM SPRINGS (498WARM),38.16917,-79.81389,761 meters,snowfall,2008-03-01 01,6.350,cm,6,hours,
40.8050_081.9353,WOOSTER (943WOOS),40.80500,-81.93528,301 meters,snowfall,2008-02-29 18,5.842,cm,6,hours,
40.6214_079.1528,INDIANA (685IND),40.62139,-79.15278,404 meters,snowfall,2008-03-01 00,11.430,cm,12,hours,
40.1614_079.0292,BOSWELL (830BOSW),40.16139,-79.02917,567 meters,snowfall,2008-03-01 01,21.844,cm,24,hours,
40.8686_082.3183,ASHLAND (503ASHL),40.86861,-82.31833,326 meters,snowfall,2008-02-29 18,5.080,cm,6,hours,
39.6581_078.9286,FROSTBURG (70FROS),39.65806,-78.92861,631 meters,snowfall,2008-03-01 01,10.160,cm,12,hours,
35.3736_083.2261,SYLVA (999SYLV),35.37361,-83.22611,627 meters,snowfall,2008-03-01 02,5.080,cm,6,hours,
38.3236_079.6406,MUSTOE (274MUST),38.32361,-79.64056,730 meters,snowfall,2008-03-01 05,9.652,cm,12,hours,
44.3508_072.3544,MARSHFIELD (782MAR),44.35083,-72.35444,243 meters,snowfall,2008-03-01 05,8.890,cm,12,hours,
TRTM4,"TROUT LAKE,MI",46.19420,-85.02360,251 meters,snowfall,2008-02-29 23,15.240,cm,24,hours,
