! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Amount_Units,Duration,Duration_Units,Zip_Code,
0000O_MADIS,"BALDWIN COUNTY, AL",30.64240,-87.90760,42 meters,snowfall,2013-02-28 13:00,0.000,cm,24.000,hours,36526,
0001O_MADIS,"DAPHNE 0.4 SW, AL",30.62204,-87.90140,43 meters,snowfall,2013-02-28 13:00,0.000,cm,24.000,hours,36526,
0002R_MADIS,"SALINA 7.0 N, KS",38.91616,-97.59990,406 meters,snowfall,2013-02-28 13:00,0.000,cm,24.000,hours,67401,
0004R_MADIS,"INNISWOLD 2.8 S, LA",30.35863,-91.07800,18 meters,snowfall,2013-02-28 13:00,0.000,cm,24.000,hours,70810,
0005O_MADIS,"WARRIOR 4.6 NW, AL",33.85839,-86.86790,286 meters,snowfall,2013-02-28 14:00,0.000,cm,24.000,hours,35180,
0006O_MADIS,"BLOUNT COUNTY, AL",33.80290,-86.56010,326 meters,snowfall,2013-02-28 13:00,0.000,cm,24.000,hours,35133,
0008H_MADIS,"OAKVILLE 1.5 N, MO",38.46509,-90.31360,175 meters,snowfall,2013-02-28 14:00,0.000,cm,24.000,hours,63129,
0010H_MADIS,"KIRKWOOD 1.6 S, MO",38.55800,-90.42430,197 meters,snowfall,2013-02-28 13:00,0.254,cm,24.000,hours,63122,
0010R_MADIS,"RANGELEY 0.1 NW, ME",44.96706,-70.64400,471 meters,snowfall,2013-02-28 12:00,10.414,cm,24.000,hours,04970,
0013B_MADIS,"WINDSOR 0.8 SSW, CO",40.47389,-104.91060,1463 meters,snowfall,2013-02-28 12:00,0.000,cm,24.000,hours,80550,
0017C_MADIS,"NORTHGLENN 3.8 NNE, CO",39.93640,-104.95620,1612 meters,snowfall,2013-02-28 14:00,0.000,cm,24.000,hours,80241,
0018R_MADIS,"WINTERPORT 2.9 N, ME",44.69369,-68.84800,10 meters,snowfall,2013-02-28 12:00,3.556,cm,24.000,hours,04496,
0020B_MADIS,"FOREST CITY 1.8 NNW, FL",28.68540,-81.45380,43 meters,snowfall,2013-02-28 12:00,0.000,cm,24.000,hours,32779,
0021R_MADIS,"HASTINGS 4.3 SSW, MI",42.59178,-85.31610,276 meters,snowfall,2013-02-28 11:00,2.540,cm,24.000,hours,49058,
0022B_MADIS,"MORRIS 6.4 ESE, IL",41.33153,-88.31410,166 meters,snowfall,2013-02-28 13:00,2.540,cm,24.000,hours,60450,
0025H_MADIS,"SHELL KNOB 5.6 ESE, MO",36.59308,-93.54800,302 meters,snowfall,2013-02-28 14:00,0.000,cm,24.000,hours,65747,
0026C_MADIS,"THORNTON 7.5 ENE, CO",39.91370,-104.84240,1547 meters,snowfall,2013-02-28 14:00,0.000,cm,24.000,hours,80640,
0029B_MADIS,"ANGOLA 1.2 S, IN",41.62494,-85.00180,316 meters,snowfall,2013-02-28 11:00,6.350,cm,24.000,hours,46703,
0030C_MADIS,"WESTMINSTER 0.8 ESE, CO",39.87819,-105.03640,1683 meters,snowfall,2013-02-28 14:00,0.000,cm,24.000,hours,80031,
0030H_MADIS,"HOLLISTER 3.5 SW, MO",36.58690,-93.26920,278 meters,snowfall,2013-02-28 13:00,0.000,cm,24.000,hours,65672,
0033O_MADIS,"FAIRFIELD 1.8 NE, AL",33.48850,-86.89230,192 meters,snowfall,2013-02-28 13:00,0.000,cm,24.000,hours,35208,
0035C_MADIS,"BRIGHTON 1.7 ESE, CO",39.97520,-104.79090,1543 meters,snowfall,2013-02-28 14:00,0.000,cm,24.000,hours,80601,
0037O_MADIS,"ATHENS 4.3 W, AL",34.78529,-87.03630,213 meters,snowfall,2013-02-28 13:00,0.000,cm,24.000,hours,35611,
0038B_MADIS,"WICHITA 4.7 W, KS",37.69114,-97.42880,411 meters,snowfall,2013-02-28 13:00,0.000,cm,24.000,hours,67212,
0041H_MADIS,"HOUSTON 4.5 ESE, MO",37.28961,-91.88960,415 meters,snowfall,2013-02-28 11:30,0.002,cm,24.000,hours,65483,
0043H_MADIS,"HOUSTON 6.3 ESE, MO",37.29155,-91.85150,402 meters,snowfall,2013-02-28 13:00,0.000,cm,24.000,hours,65555,
0044C_MADIS,"NORTHGLENN 0.9 SW, CO",39.89847,-104.99110,1659 meters,snowfall,2013-02-28 14:00,0.000,cm,24.000,hours,80234,
0046C_MADIS,"THORNTON 2.1 N, CO",39.92228,-104.95540,1604 meters,snowfall,2013-02-28 14:00,0.000,cm,24.000,hours,80241,
0049O_MADIS,"NEW MARKET 1.5 W, AL",34.91343,-86.45130,239 meters,snowfall,2013-02-28 13:20,0.000,cm,24.000,hours,35761,
0051C_MADIS,"ALAMOSA 4.1 ENE, CO",37.49970,-105.80440,2296 meters,snowfall,2013-02-28 14:00,0.000,cm,24.000,hours,81101,
