! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Amount_Units,Duration,Duration_Units,Zip_Code,
2WX,BUFFALO HARDING COUNTY,45.58060,-103.52970,876 meters,snowfall,2015-02-28 12:00,0.000,cm,24.000,hours,57720,
37.0436_102.3936,11 ESE CAMPO  COCORAHS (X3701024),37.04360,-102.39363,1223 meters,snowfall,2015-02-28 14:00,4.572,cm,12.000,hours,81029,
37.0856_107.5333,IGNACIO 8E  W CO COOP SITE (IGCC2),37.08555,-107.53333,1998 meters,snowfall,2015-02-28 14:00,3.810,cm,24.000,hours,81137,
37.2479_107.0852,4 WSW PAGOSA SPRINGS  PUBLIC (X3721071),37.24791,-107.08522,2285 meters,snowfall,2015-02-28 19:00,13.970,cm,24.000,hours,81147,
37.2860_107.8690,DURANGO  PUBLIC (X3731079),37.28600,-107.86900,2012 meters,snowfall,2015-02-28 14:52,5.080,cm,24.000,hours,81301,
37.3056_107.8375,DURANGO 5S  UNOFFICIAL STATION (DROC2),37.30555,-107.83750,2055 meters,snowfall,2015-02-28 15:30,5.080,cm,24.000,hours,81301,
37.3078_107.5978,BAYFIELD 7N  UNOFFICIAL STATION (BYFC2),37.30777,-107.59777,2219 meters,snowfall,2015-02-28 14:00,3.556,cm,24.000,hours,81122,
37.3444_108.5930,CORTEZ  CO-OP OBSERVER (X3731086),37.34440,-108.59300,1886 meters,snowfall,2015-02-28 17:00,9.906,cm,24.000,hours,81321,
37.3444_108.5931,CORTEZ  W CO COOP SITE (CTZC2),37.34444,-108.59305,1886 meters,snowfall,2015-02-28 15:00,4.318,cm,24.000,hours,81321,
37.3858_109.0750,HOVENWEEP NATL MON  CO-OP OBSERVER (X3741091),37.38580,-109.07500,1597 meters,snowfall,2015-02-28 18:00,7.620,cm,24.000,hours,84535,
37.3867_109.0794,HOVENWEEP NM  E UT COOP SITE (HOVU1),37.38666,-109.07944,1598 meters,snowfall,2015-02-28 15:00,7.620,cm,24.000,hours,84535,
37.4300_108.6500,ARRIOLA  TRAINED SPOTTER (X3741087),37.43000,-108.65000,1934 meters,snowfall,2015-02-28 19:00,20.320,cm,24.000,hours,81321,
37.4720_106.7930,1 SSE WOLF CREEK PASS  TRAINED SPOTTER (X3751068),37.47200,-106.79300,3256 meters,snowfall,2015-02-28 21:27,55.880,cm,19.000,hours,81130,
37.4833_107.5000,VALLECITO  SNOTEL (VALC2),37.48330,-107.50000,3226 meters,snowfall,2015-02-28 15:00,7.112,cm,24.000,hours,81122,
37.5167_107.3167,WEMINUCHE CREEK  SNOTEL (WMNC2),37.51670,-107.31670,3260 meters,snowfall,2015-02-28 15:00,7.112,cm,24.000,hours,81235,
37.6508_107.8050,CASCADE  SNOTEL (CSCC2),37.65080,-107.80500,2717 meters,snowfall,2015-02-28 15:00,10.668,cm,24.000,hours,81433,
37.6578_107.8136,CASCADE #2  SNOTEL (CADC2),37.65780,-107.81360,2712 meters,snowfall,2015-02-28 15:00,3.556,cm,24.000,hours,81433,
37.7139_107.5119,BEARTOWN  SNOTEL (BRTC2),37.71390,-107.51190,3522 meters,snowfall,2015-02-28 15:00,7.112,cm,24.000,hours,81433,
37.8675_109.3519,MONTICELLO #2  E UT COOP SITE (MTOU1),37.86750,-109.35194,2163 meters,snowfall,2015-02-28 14:00,1.270,cm,24.000,hours,84535,
37.9789_105.6886,1 SSE CRESTONE  COCORAHS (X3801057),37.97894,-105.68856,2448 meters,snowfall,2015-02-28 14:00,3.048,cm,12.000,hours,81143,
38.0261_107.6725,OURAY  W CO COOP SITE (URYC2),38.02611,-107.67250,2357 meters,snowfall,2015-02-28 14:25,1.016,cm,24.000,hours,81427,
38.3833_081.8339,SAINT ALBANS (STAW2),38.38333,-81.83388,203 meters,snowfall,2015-02-28 13:45,0.003,cm,24.000,hours,25177,
38.5124_106.3320,1 NNW MONARCH PASS  TRAINED SPOTTER (X3851063),38.51240,-106.33200,3301 meters,snowfall,2015-02-28 18:46,33.020,cm,17.000,hours,81201,
38.5400_106.2200,MAYSVILLE  TRAINED SPOTTER (CH115),38.54000,-106.22000,2595 meters,snowfall,2015-03-01 00:57,2.540,cm,23.000,hours,81201,
38.8962_104.7417,6 NE COLORADO SPRINGS  COCORAHS (X3891047),38.89623,-104.74174,1987 meters,snowfall,2015-02-28 14:00,2.540,cm,12.000,hours,80917,
38.9089_106.9533,CRESTED BUTTE  W CO COOP SITE (CBUC2),38.90888,-106.95333,3074 meters,snowfall,2015-02-28 14:07,1.778,cm,24.000,hours,81224,
38.9539_109.0528,GLADE PARK 17W  W CO COOP SITE (GDPC2),38.95388,-109.05277,1931 meters,snowfall,2015-02-28 15:00,0.254,cm,24.000,hours,81522,
38.9621_104.6371,2 NNW FALCON  COCORAHS (X3901046),38.96210,-104.63710,2162 meters,snowfall,2015-02-28 14:00,2.540,cm,12.000,hours,80831,
38.9667_106.9833,GOTHIC  UNOFFICIAL STATION (GTHC2),38.96666,-106.98333,3171 meters,snowfall,2015-02-28 14:00,3.810,cm,24.000,hours,81224,
39.0167_107.0500,SCHOFIELD PASS  SNOTEL (SOSC2),39.01670,-107.05000,3250 meters,snowfall,2015-02-28 15:00,7.112,cm,24.000,hours,81623,
39.0333_107.8667,PARK RSVR  SNOTEL (PRVC2),39.03330,-107.86670,3064 meters,snowfall,2015-02-28 15:00,7.112,cm,24.000,hours,81413,
39.0519_108.6471,GRAND JUNCTION 5.6 WSW  COCORAHS (X3911086),39.05190,-108.64710,1492 meters,snowfall,2015-02-28 14:12,1.016,cm,24.000,hours,81503,
39.0523_084.6585,KCVG CINC N KY APT  ASOS (X3910847),39.05230,-84.65850,274 meters,snowfall,2015-03-01 06:00,1.016,cm,1.000,hours,45275,
39.0878_108.6297,GRAND JUNCTION 4.1 W  COCORAHS (X3911086),39.08784,-108.62969,1416 meters,snowfall,2015-02-28 13:45,1.270,cm,24.000,hours,81503,
39.1014_108.7333,COLORADO NM  W CO COOP SITE (CNMC2),39.10138,-108.73333,1759 meters,snowfall,2015-02-28 15:00,2.540,cm,24.000,hours,81503,
39.1167_107.3333,MCCLURE PASS  SNOTEL (MCPC2),39.11670,-107.33330,2283 meters,snowfall,2015-02-28 15:00,7.112,cm,24.000,hours,81434,
