! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Amount_Units,Duration,Duration_Units,Zip_Code,
35.3228_083.8069,ROBBINSVILLE (X3530838),35.32280,-83.80690,629 meters,snowfall,2020-02-29 14:07,2.540,cm,25.000,hours,28771,
35.3740_083.7441,5 NE ROBBINSVILLE (X3540837),35.37397,-83.74411,1058 meters,snowfall,2020-02-29 13:00,9.906,cm,24.000,hours,28771,
35.5050_083.0227,2 NW WAYNESVILLE  BROADCAST MEDIA (X3550830),35.50497,-83.02265,1163 meters,snowfall,2020-02-29 12:59,5.080,cm,24.000,hours,28786,
35.6365_082.5855,WOODFIN  PUBLIC (X3560826),35.63650,-82.58550,641 meters,snowfall,2020-02-29 12:48,7.620,cm,24.000,hours,28804,
35.7500_082.9600,5 W LUCK  PUBLIC (X3580830),35.75000,-82.96000,1228 meters,snowfall,2020-02-29 16:10,13.970,cm,27.000,hours,28721,
36.0872_082.1584,5 N BAKERSVILLE  COCORAHS (X3610822),36.08720,-82.15840,1597 meters,snowfall,2020-02-29 12:00,9.652,cm,23.000,hours,28705,
36.2544_080.8650,1 WSW ELKIN  CO-OP OBSERVER (X3630809),36.25440,-80.86500,277 meters,snowfall,2020-02-29 13:00,4.826,cm,24.000,hours,28621,
36.3900_080.7300,NC SURRY DOBSON 911 CALL CENTER (X3630807),36.39000,-80.73000,369 meters,snowfall,2020-02-29 12:00,1.270,cm,24.000,hours,27017,
36.4161_081.4286,JEFFERSON 2 E  CO-OP OBSERVER (JFFN7),36.41610,-81.42860,835 meters,snowfall,2020-02-29 13:00,2.540,cm,24.000,hours,28640,
36.4900_080.2500,NC STOKES LAWSONVILLE PUBLIC (X3640802),36.49000,-80.25000,333 meters,snowfall,2020-02-29 12:25,1.270,cm,24.000,hours,27022,
36.4992_080.6508,2 W MOUNT AIRY  CO-OP OBSERVER (X3650807),36.49920,-80.65080,331 meters,snowfall,2020-02-29 13:22,1.524,cm,24.000,hours,27030,
36.6179_081.1497,VA GRAYSON INDEPENDENCE BROADCAST MEDIA (X3660811),36.61790,-81.14970,811 meters,snowfall,2020-02-29 12:15,5.080,cm,24.000,hours,24348,
36.6200_081.1500,(X3670809),36.62000,-81.15000,824 meters,snowfall,2020-02-29 12:15,5.080,cm,24.000,hours,24348,
36.7555_080.3913,2 NE Meadows Of Dan  Trained Spotter (X3680804),36.75550,-80.39130,900 meters,snowfall,2020-02-29 12:20,3.302,cm,24.000,hours,24120,
36.7679_080.7333,VA CARROLL HILLSVILLE BROADCAST MEDIA (X3670807),36.76790,-80.73330,771 meters,snowfall,2020-02-29 12:28,2.540,cm,24.000,hours,24343,
36.8888_081.7712,1 SSW ALLISON GAP  CO-OP OBSERVER (X3690818),36.88880,-81.77120,523 meters,snowfall,2020-02-29 13:25,2.540,cm,24.000,hours,24370,
37.0156_082.3214,4 SSE NORA (NORV2),37.01560,-82.32140,812 meters,snowfall,2020-02-29 16:00,8.382,cm,23.000,hours,24237,
37.0156_082.3214,4 SSE NORA (NORV2),37.01560,-82.32140,812 meters,snowfall,2020-02-29 15:55,7.112,cm,24.000,hours,24237,
37.0156_082.3214,4 SSE NORA (NORV2),37.01560,-82.32140,812 meters,snowfall,2020-02-29 12:00,7.112,cm,24.000,hours,24237,
37.0588_082.1596,8 ENE Trammel  Public (X3710822),37.05881,-82.15964,543 meters,snowfall,2020-02-29 14:30,10.160,cm,26.000,hours,24225,
37.0588_082.1596,8 ENE Trammel  Public (X3710822),37.05881,-82.15964,543 meters,snowfall,2020-02-29 14:30,10.160,cm,22.000,hours,24225,
37.0900_080.1400,COPPER HILL (115COPP),37.09000,-80.14000,827 meters,snowfall,2020-02-29 13:00,5.080,cm,24.000,hours,24079,
37.0900_081.7900,RICHLANDS (137RICH),37.09000,-81.79000,606 meters,snowfall,2020-02-29 13:24,3.302,cm,24.000,hours,24641,
37.1612_082.3599,Clinchco  Trained Spotter (X3720824),37.16121,-82.35986,430 meters,snowfall,2020-02-29 14:23,2.540,cm,25.000,hours,24226,
