! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Amount_Units,Duration,Duration_Units,Zip_Code,
VCGA2,VIRGIN CREEK AT GIRDWOOD,60.95130,-149.12790,88 meters,snowfall,2009-03-01 06,34.290,cm,24,hours,99587,
BEMT1,JACKSON 4 SE,35.56720,-88.79640,120 meters,snowfall,2009-03-01 06,31.750,cm,24,hours,38301,
3450O_MADIS,"BIGFORK 2.6 SSE, MT",48.02310,-114.06900,954 meters,snowfall,2009-02-28 14,24.892,cm,24,hours,59911,
4274O_MADIS,"TRIPP COUNTY, SD",43.31522,-100.09130,691 meters,snowfall,2009-02-28 14,22.860,cm,24,hours,57580,
LSXI4,"LITTLE SIOUX,IA",41.81670,-96.01670,311 meters,snowfall,2009-02-28 13,5.080,cm,6,hours,51545,
8676C_MADIS,"COLUMBIA 8.5 S, TN",35.50132,-87.07170,222 meters,snowfall,2009-02-28 13,20.320,cm,24,hours,38401,
1726O_MADIS,"ANCHORAGE 31.7 SE, AK",60.95117,-149.12780,79 meters,snowfall,2009-02-28 19,19.558,cm,24,hours,99587,
8543C_MADIS,"BURKE 6.7 S, SD",43.08563,-99.29910,625 meters,snowfall,2009-02-28 14,19.050,cm,24,hours,57533,
ENEA2,ESTER 5NE,64.91250,-147.93610,177 meters,snowfall,2009-03-01 06,18.034,cm,24,hours,99709,
LYNN1,"LYNCH,NE",42.82940,-98.45690,427 meters,snowfall,2009-02-28 13,17.780,cm,24,hours,68746,
AYES2,HAYES 6E,44.37420,-100.88810,623 meters,snowfall,2009-02-28 17,17.780,cm,24,hours,57537,
AHSA2,ANCHORAGE HILLSIDE #2,61.10830,-149.78610,195 meters,snowfall,2009-02-28 09,17.780,cm,24,hours,99516,
6960C_MADIS,"CHAMBERLAIN 0.3 W, SD",43.80679,-99.32710,454 meters,snowfall,2009-02-28 13,17.780,cm,24,hours,57325,
SWAN1,SWAN LAKE,42.18500,-99.08970,714 meters,snowfall,2009-02-28 14,17.018,cm,24,hours,68711,
OZMN1,OSMOND NO.1,42.36920,-97.59830,518 meters,snowfall,2009-02-28 13,16.510,cm,24,hours,68765,
OTTM5,"OTTERTAIL,MN",46.41670,-95.56670,399 meters,snowfall,2009-02-28 14,16.510,cm,24,hours,56571,
LSOA2,LITTLE SUSITNA NR PALMER,61.70970,-149.23190,280 meters,snowfall,2009-02-28 17,16.510,cm,24,hours,00006,
KERA2,KEYSTONE RIDGE,64.91560,-148.27110,488 meters,snowfall,2009-02-28 17,16.510,cm,24,hours,99709,
LORN1,LORETTO 7W,41.76140,-98.21390,641 meters,snowfall,2009-02-28 13,16.002,cm,24,hours,68620,
AUBN1,"AUBURN,NE",40.38330,-95.75000,309 meters,snowfall,2009-03-01 02,15.748,cm,24,hours,68321,
EDOA2,ESTER DOME,64.87720,-148.04390,625 meters,snowfall,2009-03-01 06,15.494,cm,24,hours,99709,
WSMA2,WISEMAN,67.41920,-150.10690,350 meters,snowfall,2009-03-01 06,15.240,cm,24,hours,99726,
TRYK1,TROY 3N,39.82830,-95.08810,306 meters,snowfall,2009-02-28 17,15.240,cm,24,hours,66087,
RNDN1,"6MI.SSW RANDOLPH,NE",42.30000,-97.40000,554 meters,snowfall,2009-02-28 14,15.240,cm,24,hours,68771,
OKDN1,"OAKDALE,NE",42.06670,-97.95000,517 meters,snowfall,2009-02-28 14,15.240,cm,24,hours,68761,
LEEK1,LEAVENWORTH 3SSW,39.29570,-94.94530,287 meters,snowfall,2009-02-28 17,15.240,cm,24,hours,66048,
FSHS2,SHADEHILL RESERVOIR,45.68500,-102.27330,718 meters,snowfall,2009-02-28 14,15.240,cm,24,hours,57638,
CBRS2,"5MI.S CHAMBERLAIN,SD",43.73530,-99.31220,519 meters,snowfall,2009-02-28 13,15.240,cm,24,hours,57325,
7900C_MADIS,"GREGORY 8.7 N, SD",43.35810,-99.41690,600 meters,snowfall,2009-02-28 13,15.240,cm,24,hours,57533,
6982C_MADIS,"KENNEBEC 6.2 SSE, SD",43.81719,-99.83070,548 meters,snowfall,2009-02-28 13,15.240,cm,24,hours,57544,
6970C_MADIS,"DALLAS 8.8 S, SD",43.11099,-99.49470,677 meters,snowfall,2009-02-28 13,15.240,cm,24,hours,57533,
4644O_MADIS,"BURKE 4.2 SW, SD",43.14107,-99.35410,625 meters,snowfall,2009-02-28 13,15.240,cm,24,hours,57533,
BUTN1,"BUTTE,NE",42.91310,-98.85110,550 meters,snowfall,2009-02-28 12,14.732,cm,24,hours,68722,
TYNS2,"TYNDALL,SD",42.99000,-97.86250,433 meters,snowfall,2009-02-28 14,14.224,cm,24,hours,57066,
STON1,STANTON 7NE,42.04130,-97.17470,481 meters,snowfall,2009-02-28 13,13.970,cm,24,hours,68768,
GRAN1,"4MI.E GRETNA,NE",41.20000,-96.20000,375 meters,snowfall,2009-02-28 13,13.970,cm,24,hours,68135,
8245C_MADIS,"ARMOUR 4.6 W, SD",43.32645,-98.43540,482 meters,snowfall,2009-02-28 13,13.970,cm,24,hours,57313,
OAX,"OMAHA, NE",41.32000,-96.36670,354 meters,snowfall,2009-03-01 00,13.716,cm,24,hours,68064,
FMTN1,"FREMONT,NE",41.43330,-96.48330,362 meters,snowfall,2009-02-28 13,13.716,cm,24,hours,68025,
UNXA2,"1MI.W FAIRBANKS,AK",64.85000,-147.86670,145 meters,snowfall,2009-02-28 18,13.462,cm,24,hours,99709,
KOBA2,KOBE HILL,64.19420,-149.43140,244 meters,snowfall,2009-03-01 03,13.462,cm,24,hours,99743,
TBLN1,"4MI.N TABLE ROCK,NE",40.23610,-96.08890,337 meters,snowfall,2009-02-28 12,12.954,cm,24,hours,68447,
OCDN1,"12MI.N ORCHARD,NE",42.51690,-98.26780,526 meters,snowfall,2009-02-28 13,12.954,cm,24,hours,68764,
MCI,KANSAS CITY INTL AIRPORT,39.29920,-94.71780,304 meters,snowfall,2009-03-01 00,12.954,cm,24,hours,64153,
FAOA2,COLLEGE OBSERVATORY,64.86030,-147.84840,182 meters,snowfall,2009-02-28 19,12.954,cm,24,hours,99709,
1904C_MADIS,"MUSCOTAH 0.2 SSW, KS",39.55050,-95.52230,309 meters,snowfall,2009-02-28 13,12.954,cm,24,hours,66058,
UNGN1,"UEHLING,NE",41.73310,-96.50330,393 meters,snowfall,2009-02-28 13,12.700,cm,24,hours,68031,
TCMN1,"TECUMSEH,NE",40.36670,-96.18330,349 meters,snowfall,2009-02-28 13,12.700,cm,24,hours,68450,
SLMN1,SALEM 5SW,40.02250,-95.78830,318 meters,snowfall,2009-02-28 13,12.700,cm,24,hours,68376,
SCHN1,"SCHUYLER,NE",41.45000,-97.01670,407 meters,snowfall,2009-02-28 14,12.700,cm,24,hours,68661,
