! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Units,
LLSC1,LAKE LOIS,38.92500,-120.19690,2522 meters,swe,2008-03-01 06,401.447,cm,
RVCQ2,REVOLUTION CREEK,53.78333,-120.37361,-9999 meters,swe,2008-03-01 06,292.989,cm,
LLPC1,LOWER LASSEN PEAK SNOW COURSE,40.46810,-121.50690,2514 meters,swe,2008-03-01 06,264.643,cm,
AFSW1,PARADISE,46.78150,-121.74700,1570 meters,swe,2008-03-01 06,196.596,cm,
SWCW1,SWIFT CREEK,46.16370,-122.18410,1369 meters,swe,2008-03-01 06,183.896,cm,
MRBW1,JUNE LAKE,46.14800,-122.15480,1065 meters,swe,2008-03-01 06,178.054,cm,
SLIC1,SLIDE CANYON,38.10000,-119.43330,3030 meters,swe,2008-03-01 06,176.886,cm,
REDO3,RED HILL,45.46430,-121.70430,1346 meters,swe,2008-03-01 06,172.974,cm,
APSW1,ALPINE MEADOWS,47.77960,-121.69850,1065 meters,swe,2008-03-01 06,172.720,cm,
OMWW1,OLALLIE MEADOWS,47.37410,-121.44210,1227 meters,swe,2008-03-01 06,172.212,cm,
BLAO3,BLAZED ALDER,45.42870,-121.85650,1128 meters,swe,2008-03-01 06,168.148,cm,
MRTW1,MARTEN RIDGE,48.76300,-121.69820,1082 meters,swe,2008-03-01 06,164.846,cm,
MTHO3,MT HOOD TEST SITE,45.32100,-121.71580,1649 meters,swe,2008-03-01 06,164.592,cm,
RXSW1,REX RIVER,47.30200,-121.60480,1151 meters,swe,2008-03-01 06,157.988,cm,
SZKQ2,SPUZZUM CREEK,49.66666,-121.65000,287 meters,swe,2008-03-01 06,157.378,cm,
GBRQ2,GREAT BEAR,51.25138,-117.49166,-9999 meters,swe,2008-03-01 06,150.800,cm,
SHPW1,SHEEP CANYON,46.19320,-122.25450,1221 meters,swe,2008-03-01 06,149.606,cm,
KUSW1,SKOOKUM CREEK,47.68450,-121.60950,1020 meters,swe,2008-03-01 06,146.050,cm,
CAYW1,CAYUSE PASS,46.87170,-121.53200,1635 meters,swe,2008-03-01 06,145.796,cm,
BKLC1,BUCKS LAKE,39.85000,-121.24190,1759 meters,swe,2008-02-29 12,145.034,cm,
CWRQ2,CHILLIWACK RIVER,49.03333,-121.71666,751 meters,swe,2008-03-01 06,139.090,cm,
LPSW1,LONE PINE,46.27140,-121.96290,1222 meters,swe,2008-03-01 06,137.160,cm,
BCBC1,BLACKCAP BASIN GOES,37.06670,-118.76670,3137 meters,swe,2008-03-01 06,136.296,cm,
PGPW1,PIGTAIL PEAK,46.62150,-121.38630,1772 meters,swe,2008-03-01 06,136.144,cm,
SMPW1,STAMPEDE PASS,47.27450,-121.34160,1187 meters,swe,2008-03-01 06,134.620,cm,
MTCQ2,MOUNT COOK,52.18333,-119.31666,-9999 meters,swe,2008-03-01 06,134.112,cm,
SPLW1,SURPRISE LAKES,46.09500,-121.76350,1310 meters,swe,2008-03-01 06,133.350,cm,
LMDO3,LITTLE MEADOWS,44.61320,-122.22600,1230 meters,swe,2008-03-01 06,132.080,cm,
ELSW1,ELBOW LAKE,48.69090,-121.90890,932 meters,swe,2008-03-01 06,131.318,cm,
MPSW1,MEADOWS PASS,47.28310,-121.47200,975 meters,swe,2008-03-01 06,130.810,cm,
SPMW1,SPENCER MEADOW,46.17970,-121.92650,1043 meters,swe,2008-03-01 06,130.556,cm,
BRMI1,BEAR MOUNTAIN,48.30580,-116.07450,1663 meters,swe,2008-03-01 06,130.048,cm,
MKZO3,MCKENZIE,44.21040,-121.87290,1460 meters,swe,2008-03-01 06,129.794,cm,
MRSW1,MORSE LAKE,46.90570,-121.48270,1650 meters,swe,2008-03-01 06,128.778,cm,
LSLI1,LOST LAKE,47.07190,-115.95810,1692 meters,swe,2008-03-01 06,128.524,cm,
SLTC1,SLATE CREEK,41.04610,-122.48110,1741 meters,swe,2008-02-29 20,127.000,cm,
SAWW1,SAWMILL RIDGE,47.15990,-121.42170,1416 meters,swe,2008-03-01 06,125.984,cm,
MELC1,MEADOW LK SNOW COURSE,39.41690,-120.50810,2290 meters,swe,2008-03-01 06,125.679,cm,
PCRW1,PARK CREEK RIDGE,48.44490,-120.91550,1411 meters,swe,2008-03-01 06,124.460,cm,
COLI1,COOL CREEK,46.76360,-115.29530,1928 meters,swe,2008-03-01 06,122.936,cm,
SHMC1,SHIMMY LAKE GOES,41.00530,-122.80170,1954 meters,swe,2008-02-29 20,121.920,cm,
CRAI1,CRATER MEADOWS,46.56310,-115.28830,1814 meters,swe,2008-03-01 06,121.920,cm,
STZI1,SCHWEITZER BASIN,48.37430,-116.63920,1857 meters,swe,2008-03-01 06,120.396,cm,
LYLW1,LYMAN LAKE,48.19070,-120.91900,1986 meters,swe,2008-03-01 06,120.396,cm,
LELC1,LEAVITT LAKE,38.27600,-119.61180,2928 meters,swe,2008-03-01 06,120.396,cm,
RORO3,ROARING RIVER,43.90120,-122.03070,1514 meters,swe,2008-03-01 06,120.142,cm,
PDSC1,PARADISE,38.05000,-119.66670,2365 meters,swe,2008-03-01 06,120.117,cm,
REDQ2,REDFISH CREEK,49.69000,-117.08638,1283 meters,swe,2008-03-01 06,119.990,cm,
RRMC1,RED ROCK MOUNTAIN,41.01670,-122.88330,1908 meters,swe,2008-02-29 20,119.380,cm,
CPCM8,COPPER CAMP,47.08160,-112.72960,2131 meters,swe,2008-03-01 05,117.856,cm,
NFRO3,NORTH FORK,45.55050,-122.00310,944 meters,swe,2008-03-01 06,117.094,cm,
BNKC1,BONANZA KING,41.08310,-122.61670,1782 meters,swe,2008-02-29 12,116.332,cm,
LAKW1,LYNN LAKE,47.20170,-121.77970,1196 meters,swe,2008-03-01 06,115.824,cm,
WHSW1,WATERHOLE,47.94490,-123.42590,1526 meters,swe,2008-03-01 06,114.554,cm,
HEMI1,HEMLOCK BUTTE,46.48110,-115.63360,1772 meters,swe,2008-03-01 06,114.554,cm,
CHMC1,CHILKOOT MEADOW,37.40810,-119.49000,2228 meters,swe,2008-02-29 12,114.046,cm,
