! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Units,Zip_Code,
EPSW1,21A07 - EASY PASS AM,48.85930,-121.43890,1600 meters,swe,2018-03-01 06,215.392,cm,00072,
MRTW1,MARTEN RIDGE,48.76300,-121.69820,1082 meters,swe,2018-03-01 06,152.908,cm,00072,
CWRQ2,CHILLIWACK RIVER SNOW PILLOW,49.03330,-121.71670,1567 meters,swe,2018-03-01 06,149.809,cm,,
AFSW1,PARADISE,46.78150,-121.74700,1570 meters,swe,2018-03-01 06,149.098,cm,98361,
BRTW1,BROWN TOP,48.92750,-121.19710,1781 meters,swe,2018-03-01 05,147.320,cm,00072,
CAYW1,CAYUSE PASS,46.87170,-121.53200,1635 meters,swe,2018-03-01 06,147.066,cm,98022,
MNOW1,MF NOOKSACK,48.82460,-121.92950,1504 meters,swe,2018-03-01 06,146.050,cm,00072,
SWCW1,SWIFT CREEK,46.16370,-122.18410,1369 meters,swe,2018-03-01 05,144.526,cm,98648,
SZKQ2,SPUZZUM CREEK SNOW PILLOW,49.66060,-121.65890,1198 meters,swe,2018-03-01 06,138.989,cm,,
LSLI1,LOST LAKE,47.07190,-115.95810,1692 meters,swe,2018-03-01 06,133.858,cm,83873,
NOIM8,NOISY BASIN,48.15670,-113.94620,1859 meters,swe,2018-03-01 06,130.048,cm,59901,
LYLW1,LYMAN LAKE,48.19070,-120.91900,1986 meters,swe,2018-03-01 06,129.794,cm,98852,
BKHW1,BUCKINGHORSE,47.70840,-123.46060,1412 meters,swe,2018-03-01 06,128.016,cm,98563,
NFJM8,NORTH FORK JOCKO,47.27260,-113.75620,1864 meters,swe,2018-03-01 06,124.206,cm,59868,
JUMQ2,JUMP CREEK SNOW PILLOW,48.96950,-124.27620,1136 meters,swe,2018-03-01 06,123.393,cm,,
BRMI1,BEAR MOUNTAIN,48.30580,-116.07450,1663 meters,swe,2018-03-01 06,122.936,cm,83836,
REDQ2,REDFISH CREEK,49.69027,-117.08638,2085 meters,swe,2018-03-01 06,122.809,cm,,
CRAI1,CRATER MEADOWS,46.56310,-115.28830,1814 meters,swe,2018-03-01 06,119.126,cm,83544,
MRSW1,MORSE LAKE,46.90570,-121.48270,1650 meters,swe,2018-03-01 06,117.094,cm,98937,
STZI1,SCHWEITZER BASIN,48.37430,-116.63920,1857 meters,swe,2018-03-01 06,116.586,cm,83856,
HRPW1,HARTS PASS,48.72040,-120.65850,1982 meters,swe,2018-03-01 06,116.332,cm,00076,
HEMI1,HEMLOCK BUTTE,46.48110,-115.63360,1772 meters,swe,2018-03-01 06,115.570,cm,83544,
BHWOL_MADIS,WOLF R. UPPER,49.68060,-125.74170,1611 meters,swe,2018-03-01 06,114.910,cm,,
APSW1,ALPINE MEADOWS,47.77960,-121.69850,1065 meters,swe,2018-03-01 06,114.808,cm,98294,
PGPW1,PIGTAIL PEAK,46.62150,-121.38630,1772 meters,swe,2018-03-01 06,114.300,cm,98937,
FSHM8,FISHER CREEK,45.06230,-109.94490,2784 meters,swe,2018-03-01 06,114.046,cm,59030,
WLLQ2,WAHLEACH LAKE SNOW PILLOW,49.23330,-121.58330,1313 meters,swe,2018-03-01 06,113.487,cm,,
BHWLA_MADIS,WAHLEACH LK,49.23330,-121.56670,1432 meters,swe,2018-03-01 06,113.487,cm,,
OMWW1,OLALLIE MEADOWS,47.37410,-121.44210,1227 meters,swe,2018-03-01 06,112.268,cm,98922,
SLKQ2,ST LEON CREEK SNOW PILLOW,50.43330,-117.70000,1836 meters,swe,2018-03-01 06,111.404,cm,,
TWLM8,TWIN LAKES,46.14260,-114.50540,1955 meters,swe,2018-03-01 06,111.252,cm,59840,
FTMM8,FLATTOP MTN.,48.80240,-113.85720,1915 meters,swe,2018-03-01 05,110.998,cm,59916,
MTRQ2,MOUNT REVELSTOKE SNOW PILLOW,51.03640,-118.15140,1785 meters,swe,2018-03-01 06,108.890,cm,,
PCRW1,PARK CREEK RIDGE,48.44490,-120.91550,1411 meters,swe,2018-03-01 06,107.188,cm,98852,
MTCQ2,MT COOK,52.18277,-119.32138,1565 meters,swe,2018-03-01 06,107.112,cm,,
MSPM8,MOSS PEAK,47.68490,-113.96230,2061 meters,swe,2018-03-01 06,105.918,cm,59860,
