! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Units,Zip_Code,
AFSW1,PARADISE,46.78150,-121.74700,1570 meters,swe,2009-03-01 06,122.174,cm,98361,
MRTW1,MARTEN RIDGE,48.76300,-121.69820,1082 meters,swe,2009-03-01 06,111.506,cm,00072,
PGPW1,PIGTAIL PEAK,46.62150,-121.38630,1772 meters,swe,2009-03-01 06,110.490,cm,98937,
EPSW1,21A07 - EASY PASS AM,48.86670,-121.43330,1532 meters,swe,2009-02-28 08,107.696,cm,00072,
MTHO3,MT HOOD TEST SITE,45.32100,-121.71580,1649 meters,swe,2009-03-01 06,106.426,cm,97028,
LELC1,LEAVITT LAKE,38.27600,-119.61180,2928 meters,swe,2009-03-01 06,105.918,cm,96107,
APSW1,ALPINE MEADOWS,47.77960,-121.69850,1065 meters,swe,2009-03-01 06,104.648,cm,98294,
TAHQ2,TAHTSA LK,53.71666,-127.63333,,swe,2009-03-01 06,103.124,cm,,
LSLI1,LOST LAKE,47.07190,-115.95810,1692 meters,swe,2009-03-01 06,102.362,cm,83873,
MKZO3,MCKENZIE,44.21040,-121.87290,1460 meters,swe,2009-03-01 06,101.854,cm,00069,
BLPU1,BEN LOMOND PEAK,41.37600,-111.94410,2350 meters,swe,2009-03-01 06,99.568,cm,84310,
LLKA2,LONG LAKE,58.18600,-133.83220,250 meters,swe,2009-03-01 01,96.774,cm,99801,
HRSC1,HORSE MEADOWS,38.15810,-119.66190,2624 meters,swe,2009-02-28 12,96.012,cm,95335,
MULC1,MUD LAKE,38.61500,-120.14000,2447 meters,swe,2009-03-01 06,95.758,cm,95666,
CRAI1,CRATER MEADOWS,46.56310,-115.28830,1814 meters,swe,2009-03-01 06,94.742,cm,83544,
TOWC2,TOWER,40.53740,-106.67680,3245 meters,swe,2009-03-01 02,94.234,cm,80487,
CEDQ2,CEDAR  KITEEN,55.15388,-128.71638,912 meters,swe,2009-03-01 06,93.701,cm,,
MTCQ2,MOUNT COOK,52.18333,-119.31666,,swe,2009-03-01 06,92.964,cm,,
MNOW1,MF NOOKSACK,48.82460,-121.92950,1504 meters,swe,2009-03-01 06,92.456,cm,00072,
SAWW1,SAWMILL RIDGE,47.15990,-121.42170,1416 meters,swe,2009-03-01 06,91.440,cm,98022,
BKLC1,BUCKS LAKE,39.85000,-121.24190,1759 meters,swe,2009-03-01 06,90.221,cm,00028,
SOSC2,SCHOFIELD PASS,39.01520,-107.04880,3266 meters,swe,2009-03-01 06,89.916,cm,81623,
UMCQ2,UPPER MOSLEY CREEK,51.77777,-124.62083,,swe,2009-03-01 06,89.205,cm,,
CPCM8,COPPER CAMP,47.08160,-112.72960,2131 meters,swe,2009-03-01 05,88.900,cm,59639,
MIRW1,MINERS RIDGE,48.20180,-120.95620,1852 meters,swe,2009-03-01 06,87.884,cm,98241,
KUSW1,SKOOKUM CREEK,47.68450,-121.60950,1020 meters,swe,2009-03-01 06,87.122,cm,98024,
BRMI1,BEAR MOUNTAIN,48.30580,-116.07450,1663 meters,swe,2009-03-01 06,87.122,cm,83836,
PPAQ2,PINE PASS,55.35305,-122.63805,,swe,2009-03-01 06,86.106,cm,,
SWCW1,SWIFT CREEK,46.16370,-122.18410,1369 meters,swe,2009-03-01 06,85.852,cm,98648,
NFJM8,NORTH FORK JOCKO,47.27260,-113.75620,1864 meters,swe,2009-03-01 05,85.598,cm,59868,
HEMI1,HEMLOCK BUTTE,46.48110,-115.63360,1772 meters,swe,2009-03-01 06,85.598,cm,83544,
LYLW1,LYMAN LAKE,48.19070,-120.91900,1986 meters,swe,2009-03-01 06,85.344,cm,98852,
FMNU1,FARMINGTON,40.97480,-111.80930,2415 meters,swe,2009-03-01 06,85.344,cm,84025,
MLKO3_MADIS,MILK SHAKES,45.98000,-117.95000,1707 meters,swe,2009-03-01 06,84.328,cm,97828,
SBDU1,SNOWBIRD,40.56400,-111.65500,2942 meters,swe,2009-03-01 06,84.074,cm,00100,
MRBW1,JUNE LAKE,46.14800,-122.15480,1065 meters,swe,2009-03-01 06,84.074,cm,98648,
HEDQ2,HEDRICK LAKE (NEW ID),54.10555,-121.00333,1118 meters,swe,2009-03-01 06,83.312,cm,,
TWLM8,TWIN LAKES,46.14260,-114.50540,1955 meters,swe,2009-03-01 05,83.058,cm,59840,
SLMC1,ELSTANISLAUS MEADOW (GOES),38.50000,-119.93690,2359 meters,swe,2009-02-28 12,82.804,cm,00044,
RRMC1,RED ROCK MOUNTAIN,41.02300,-122.88500,2042 meters,swe,2009-02-28 12,82.550,cm,96052,
GTHW4,GRAND TARGHEE SNOTEL,43.77930,-110.92780,2825 meters,swe,2009-03-01 06,82.296,cm,83012,
SQWC1,SQUAW VALLEY G.C.,39.19000,-120.26480,2427 meters,swe,2009-03-01 06,81.788,cm,96145,
WEMC1,WET MEADOW,36.34890,-118.57330,2751 meters,swe,2009-03-01 06,80.899,cm,00026,
SNWC1,SNOW MOUNTAIN,40.77810,-121.78190,1819 meters,swe,2009-02-28 12,80.264,cm,96069,
SCEC1,SCHNEIDER,38.74690,-120.06810,2671 meters,swe,2009-02-28 12,78.486,cm,96150,
CAYW1,CAYUSE PASS,46.87170,-121.53200,1635 meters,swe,2009-03-01 06,78.486,cm,98022,
YNKQ2,YANKS PEAK EAST,52.83333,-121.35000,,swe,2009-03-01 06,78.334,cm,,
NOIM8,NOISY BASIN,48.15670,-113.94620,1859 meters,swe,2009-03-01 05,78.232,cm,59901,
SPLW1,SURPRISE LAKES,46.09500,-121.76350,1310 meters,swe,2009-03-01 06,77.470,cm,98648,
OMWW1,OLALLIE MEADOWS,47.37410,-121.44210,1227 meters,swe,2009-03-01 06,77.470,cm,98922,
MUDO3,MUD RIDGE,45.25370,-121.73660,1158 meters,swe,2009-03-01 06,77.470,cm,00070,
COLI1,COOL CREEK,46.76360,-115.29530,1928 meters,swe,2009-03-01 06,76.962,cm,83544,
MTRQ2,MT. REVELSTOKE,51.03611,-118.14444,,swe,2009-03-01 06,76.860,cm,,
